epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7211,1.33517,2.46209,1.35445,0.68849,0.35839,0.63053,0.35002,1.34744,2.51823,1.33293,0.000545744,0.000545744,0.000545744
2,19.5267,1.30234,1.57757,1.28557,0.61319,0.71944,0.70015,0.35807,1.55752,1.75387,1.56627,0.00109051,0.00109051,0.00109051
3,26.7715,1.26587,1.416,1.2546,0.76238,0.68735,0.76148,0.42964,1.43977,1.61326,1.5241,0.00162427,0.00162427,0.00162427
4,33.4986,1.25403,1.349,1.25989,0.76615,0.72247,0.77338,0.44239,1.49041,1.4553,1.52632,0.00161749,0.00161749,0.00161749
5,40.2216,1.2599,1.26439,1.25239,0.70429,0.82572,0.84044,0.4686,1.39607,1.48453,1.41123,0.00160099,0.00160099,0.00160099
6,46.7264,1.22601,1.14046,1.23292,0.67033,0.84745,0.84877,0.47372,1.42785,1.26747,1.45058,0.00158448,0.00158448,0.00158448
7,55.0032,1.16772,1.07395,1.20879,0.79922,0.77093,0.79347,0.4511,1.40098,1.34701,1.47169,0.00156798,0.00156798,0.00156798
8,62.756,1.1278,1.0205,1.18479,0.71341,0.88168,0.88894,0.51269,1.39423,1.17006,1.48482,0.00155148,0.00155148,0.00155148
9,69.5149,1.17185,1.00419,1.2132,0.79638,0.86739,0.89779,0.54889,1.29921,1.03487,1.37342,0.00153497,0.00153497,0.00153497
10,75.7656,1.11294,0.95234,1.20466,0.87668,0.83468,0.92858,0.55036,1.36419,0.9709,1.41128,0.00151847,0.00151847,0.00151847
11,81.9703,1.09457,0.92943,1.17285,0.82055,0.89301,0.94109,0.56225,1.3762,0.96383,1.48732,0.00150197,0.00150197,0.00150197
12,88.2133,1.07193,0.8612,1.16521,0.85496,0.87991,0.9225,0.53304,1.44646,0.94872,1.53194,0.00148546,0.00148546,0.00148546
13,94.3916,1.04642,0.84662,1.1604,0.885,0.93814,0.94006,0.56132,1.38245,0.80832,1.47707,0.00146896,0.00146896,0.00146896
14,100.849,1.05127,0.8447,1.15708,0.92419,0.89401,0.95678,0.5837,1.36417,0.80277,1.43869,0.00145246,0.00145246,0.00145246
15,107.081,1.04894,0.80924,1.15927,0.83437,0.84674,0.89967,0.56251,1.29204,0.90546,1.33571,0.00143595,0.00143595,0.00143595
16,113.33,1.0249,0.7984,1.14133,0.83074,0.91452,0.92462,0.5756,1.30789,0.81393,1.38568,0.00141945,0.00141945,0.00141945
17,119.546,1.0115,0.76719,1.13859,0.80861,0.88829,0.92357,0.52498,1.4111,0.87151,1.53576,0.00140295,0.00140295,0.00140295
18,125.938,0.98899,0.79792,1.12745,0.91505,0.83917,0.94736,0.6008,1.26173,0.77768,1.33318,0.00138644,0.00138644,0.00138644
19,132.223,0.99881,0.74792,1.12595,0.9253,0.93017,0.95966,0.59921,1.27697,0.77482,1.38401,0.00136994,0.00136994,0.00136994
20,138.577,1.00002,0.74934,1.13838,0.88473,0.93742,0.95443,0.58652,1.30449,0.74211,1.40987,0.00135344,0.00135344,0.00135344
21,144.929,0.95891,0.71567,1.1104,0.93382,0.89326,0.95993,0.55431,1.43329,0.77749,1.53301,0.00133693,0.00133693,0.00133693
22,151.237,0.95672,0.69908,1.11421,0.91847,0.87591,0.95104,0.58612,1.34759,0.79812,1.46483,0.00132043,0.00132043,0.00132043
23,157.528,0.9612,0.70447,1.1124,0.92419,0.91859,0.96349,0.5843,1.25519,0.69717,1.37208,0.00130393,0.00130393,0.00130393
24,163.874,0.94232,0.70682,1.11226,0.77507,0.87577,0.89046,0.55394,1.25287,0.92253,1.39171,0.00128742,0.00128742,0.00128742
25,170.169,0.95326,0.69705,1.12998,0.85224,0.91923,0.9538,0.57925,1.35331,0.72501,1.42804,0.00127092,0.00127092,0.00127092
26,176.415,0.92708,0.67866,1.10662,0.86749,0.91542,0.95693,0.5921,1.36295,0.75708,1.43467,0.00125442,0.00125442,0.00125442
27,182.7,0.94351,0.67374,1.10088,0.89562,0.91994,0.95746,0.57592,1.33882,0.70062,1.41228,0.00123791,0.00123791,0.00123791
28,189.163,0.93932,0.6866,1.10208,0.89121,0.92007,0.92903,0.55851,1.27791,0.76882,1.42607,0.00122141,0.00122141,0.00122141
