epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,362.413,0.92068,0.66348,1.13615,0.72831,0.80893,0.83528,0.53322,1.23331,1.21548,1.36985,0.000990365,0.000990365,0.000990365
43,371.513,0.89552,0.66135,1.12164,0.76764,0.82374,0.85786,0.55832,1.27063,1.07093,1.47234,0.000973861,0.000973861,0.000973861
44,380.456,0.92428,0.65177,1.13706,0.87437,0.8486,0.91513,0.54074,1.33052,0.85226,1.57455,0.000957358,0.000957358,0.000957358
45,389.311,0.92554,0.65271,1.13591,0.88641,0.79594,0.89042,0.56545,1.32009,0.8312,1.52532,0.000940855,0.000940855,0.000940855
46,398.244,0.91197,0.65778,1.12217,0.89299,0.88637,0.93883,0.61605,1.22794,0.75431,1.41758,0.000924352,0.000924352,0.000924352
47,407.265,0.91939,0.64254,1.13308,0.74061,0.86515,0.8532,0.56573,1.21053,0.94827,1.39686,0.000907848,0.000907848,0.000907848
48,416.434,0.94818,0.65886,1.14245,0.82584,0.84734,0.88859,0.57605,1.2337,0.88778,1.40275,0.000891345,0.000891345,0.000891345
49,425.467,0.91198,0.61483,1.1175,0.85813,0.87849,0.91771,0.588,1.27005,0.78735,1.45934,0.000874842,0.000874842,0.000874842
50,434.471,0.87303,0.63416,1.10654,0.8745,0.8579,0.93206,0.59949,1.27747,0.88259,1.53155,0.000858338,0.000858338,0.000858338
51,443.934,0.89081,0.61029,1.12067,0.88349,0.8167,0.91363,0.58269,1.28042,0.83427,1.5508,0.000841835,0.000841835,0.000841835
52,453.435,0.87791,0.61713,1.11446,0.89818,0.87051,0.93277,0.58154,1.26407,0.79818,1.45747,0.000825332,0.000825332,0.000825332
53,462.991,0.86884,0.60752,1.10033,0.87871,0.86137,0.94017,0.59906,1.26984,0.79409,1.46156,0.000808828,0.000808828,0.000808828
54,472.084,0.8729,0.62078,1.10122,0.82907,0.81,0.88964,0.55531,1.2983,0.94564,1.45356,0.000792325,0.000792325,0.000792325
55,482.6,0.85747,0.5926,1.10342,0.88573,0.87887,0.94043,0.60147,1.24347,0.80848,1.46426,0.000775822,0.000775822,0.000775822
56,492.586,0.85558,0.57628,1.0956,0.90678,0.85146,0.9261,0.59882,1.25263,0.77247,1.49033,0.000759318,0.000759318,0.000759318
