epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9845,1.65157,2.73301,1.47583,0.43257,0.82426,0.44509,0.25774,1.33354,1.97782,1.39111,0.000545744,0.000545744,0.000545744
2,19.8677,1.28041,1.75761,1.22994,0.48369,0.90517,0.60089,0.36221,1.37316,2.07657,1.31114,0.0010796,0.0010796,0.0010796
3,27.5733,1.21039,1.38549,1.18805,0.52544,0.72709,0.6298,0.36959,1.3762,1.62626,1.36198,0.00159146,0.00159146,0.00159146
4,35.7788,1.1786,1.26927,1.18609,0.37792,0.67944,0.50575,0.29016,1.28624,1.97256,1.28359,0.00156798,0.00156798,0.00156798
5,43.4997,1.15044,1.16798,1.18782,0.5555,0.88337,0.73862,0.4597,1.27403,1.32561,1.29499,0.00153497,0.00153497,0.00153497
6,50.9874,1.14427,1.07386,1.18313,0.63967,0.70952,0.74262,0.4376,1.36809,1.31531,1.39101,0.00150197,0.00150197,0.00150197
7,59.6178,1.07871,1.03929,1.1679,0.61116,0.74364,0.73548,0.44107,1.23346,1.30103,1.30303,0.00146896,0.00146896,0.00146896
8,67.552,1.06622,0.96575,1.15259,0.71818,0.82153,0.78871,0.46675,1.3241,1.18073,1.34249,0.00143595,0.00143595,0.00143595
9,75.3511,1.10621,0.95346,1.19112,0.73498,0.84821,0.8388,0.51706,1.31832,1.05414,1.34237,0.00140295,0.00140295,0.00140295
10,82.7692,1.0756,0.91389,1.18504,0.73161,0.74997,0.82074,0.47991,1.42057,1.24182,1.49116,0.00136994,0.00136994,0.00136994
11,90.2354,1.03962,0.87246,1.13902,0.64567,0.88498,0.84274,0.54937,1.21796,1.08017,1.2978,0.00133693,0.00133693,0.00133693
12,97.7254,1.00683,0.82417,1.1464,0.70616,0.83756,0.8429,0.51064,1.39632,1.03205,1.43479,0.00130393,0.00130393,0.00130393
13,105.218,1.01566,0.7909,1.15916,0.8086,0.84567,0.8838,0.56696,1.23559,0.97743,1.32911,0.00127092,0.00127092,0.00127092
14,112.697,0.99925,0.78994,1.13738,0.69376,0.7617,0.79513,0.51259,1.23727,1.1281,1.36028,0.00123791,0.00123791,0.00123791
15,120.17,1.00037,0.75737,1.13786,0.72582,0.72042,0.80375,0.46272,1.34196,1.23284,1.41645,0.00120491,0.00120491,0.00120491
16,127.706,0.97561,0.74027,1.1215,0.76084,0.87413,0.86785,0.55858,1.31469,0.91339,1.38396,0.0011719,0.0011719,0.0011719
17,135.296,0.97246,0.72933,1.12081,0.83829,0.78981,0.86568,0.53951,1.26286,0.9966,1.38697,0.00113889,0.00113889,0.00113889
18,142.857,0.96308,0.75544,1.11934,0.78,0.88027,0.90562,0.56175,1.333,0.89478,1.45254,0.00110589,0.00110589,0.00110589
19,150.479,0.95541,0.7127,1.11565,0.77154,0.85972,0.88405,0.57105,1.21953,0.90926,1.33008,0.00107288,0.00107288,0.00107288
20,158.041,0.95519,0.71969,1.13034,0.82317,0.84399,0.88764,0.56412,1.29571,0.87894,1.36803,0.00103987,0.00103987,0.00103987
21,165.697,0.93095,0.69188,1.10461,0.81746,0.7698,0.89129,0.55674,1.27408,0.91327,1.35844,0.00100687,0.00100687,0.00100687
22,173.308,0.92729,0.67977,1.10813,0.73962,0.90412,0.91698,0.58549,1.26395,0.9294,1.36125,0.000973861,0.000973861,0.000973861
23,181.129,0.9304,0.66442,1.10862,0.83013,0.8929,0.92207,0.58791,1.24956,0.87882,1.35754,0.000940855,0.000940855,0.000940855
24,188.805,0.90849,0.6534,1.10162,0.83943,0.82376,0.921,0.60469,1.23102,0.84387,1.32924,0.000907848,0.000907848,0.000907848
25,196.483,0.91647,0.65334,1.10404,0.81788,0.83882,0.89595,0.57666,1.29767,0.86726,1.38977,0.000874842,0.000874842,0.000874842
26,204.087,0.89847,0.65514,1.09634,0.83524,0.90553,0.9323,0.58941,1.28237,0.81286,1.40673,0.000841835,0.000841835,0.000841835
27,211.748,0.9012,0.63371,1.10293,0.84872,0.81649,0.92746,0.58843,1.23521,0.89105,1.32912,0.000808828,0.000808828,0.000808828
28,219.43,0.88489,0.62536,1.08982,0.92231,0.85377,0.94876,0.62107,1.20903,0.73396,1.29689,0.000775822,0.000775822,0.000775822
29,227.219,0.88215,0.61742,1.07876,0.68786,0.87108,0.86704,0.57434,1.15897,1.00572,1.25874,0.000742815,0.000742815,0.000742815
30,234.901,0.89092,0.61872,1.09688,0.9009,0.9114,0.95733,0.6091,1.29709,0.70049,1.43585,0.000709809,0.000709809,0.000709809
31,242.548,0.87849,0.60951,1.09404,0.8757,0.91229,0.953,0.61172,1.22974,0.70445,1.36595,0.000676802,0.000676802,0.000676802
32,250.518,0.86409,0.58502,1.09525,0.82555,0.91994,0.94759,0.62371,1.17478,0.73644,1.29178,0.000643795,0.000643795,0.000643795
33,258.257,0.85901,0.57805,1.06986,0.76085,0.90963,0.94061,0.62227,1.19017,0.82604,1.32726,0.000610789,0.000610789,0.000610789
34,266.105,0.83871,0.55632,1.07329,0.83852,0.91652,0.95034,0.64237,1.16534,0.67852,1.28497,0.000577782,0.000577782,0.000577782
35,273.793,0.84565,0.57111,1.07535,0.9124,0.91203,0.96892,0.62902,1.2455,0.68717,1.38438,0.000544776,0.000544776,0.000544776
36,281.54,0.83874,0.56318,1.07125,0.81373,0.88534,0.93436,0.6336,1.1978,0.81574,1.32575,0.000511769,0.000511769,0.000511769
37,289.793,0.8013,0.55388,1.0425,0.83299,0.85377,0.93964,0.64179,1.16001,0.82217,1.26797,0.000478762,0.000478762,0.000478762
38,297.73,0.82354,0.54372,1.0643,0.91183,0.952,0.9675,0.64255,1.23907,0.63682,1.37225,0.000445756,0.000445756,0.000445756
39,305.703,0.78862,0.51621,1.04568,0.80352,0.94659,0.94717,0.63166,1.23004,0.74422,1.33538,0.000412749,0.000412749,0.000412749
40,314.319,0.82284,0.51759,1.05799,0.89822,0.95451,0.96491,0.63179,1.25772,0.67781,1.38745,0.000379743,0.000379743,0.000379743
41,347.775,0.72062,0.42607,0.97706,0.93222,0.91765,0.96587,0.62622,1.27317,0.68221,1.39486,0.000346736,0.000346736,0.000346736
42,355.555,0.71323,0.42036,0.96832,0.87636,0.87778,0.94356,0.62087,1.21156,0.80419,1.32972,0.000313729,0.000313729,0.000313729
43,363.379,0.71346,0.3994,0.96968,0.91004,0.8792,0.95796,0.63289,1.20215,0.73085,1.33869,0.000280723,0.000280723,0.000280723
44,371.197,0.68619,0.38099,0.9674,0.89278,0.89274,0.9527,0.62669,1.23866,0.75096,1.38923,0.000247716,0.000247716,0.000247716
