epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,231.271,0.94129,0.72532,1.08363,0.73777,0.83811,0.88579,0.55803,1.29999,0.89538,1.36304,0.0011884,0.0011884,0.0011884
31,238.389,0.93996,0.71627,1.08385,0.7741,0.92183,0.9266,0.58949,1.27151,0.81356,1.3681,0.0011719,0.0011719,0.0011719
32,245.421,0.91591,0.69654,1.09269,0.85539,0.86689,0.91947,0.57207,1.27525,0.81336,1.3562,0.0011554,0.0011554,0.0011554
33,252.47,0.92577,0.67723,1.07832,0.75358,0.83019,0.88274,0.57494,1.18654,0.92861,1.29375,0.00113889,0.00113889,0.00113889
34,259.58,0.89049,0.65794,1.07069,0.82913,0.8229,0.88802,0.57349,1.22005,0.84862,1.31588,0.00112239,0.00112239,0.00112239
35,266.817,0.91934,0.68299,1.08385,0.65529,0.73679,0.73783,0.47688,1.26059,1.14752,1.32975,0.00110589,0.00110589,0.00110589
36,274.015,0.91415,0.66856,1.07153,0.76095,0.80499,0.86189,0.56846,1.20376,0.9263,1.2488,0.00108938,0.00108938,0.00108938
37,281.499,0.8746,0.6419,1.04661,0.77901,0.72027,0.8047,0.52291,1.20162,1.1211,1.26401,0.00107288,0.00107288,0.00107288
38,288.782,0.87351,0.64286,1.05876,0.73063,0.73608,0.81566,0.52544,1.24829,1.17503,1.30159,0.00105638,0.00105638,0.00105638
39,295.972,0.88195,0.61285,1.0634,0.78641,0.73608,0.83509,0.54285,1.21308,1.07115,1.29099,0.00103987,0.00103987,0.00103987
40,303.576,0.90925,0.62735,1.0722,0.85024,0.83815,0.90583,0.5704,1.22738,0.82141,1.28223,0.00102337,0.00102337,0.00102337
41,311.145,0.89603,0.65098,1.06559,0.69318,0.84424,0.79062,0.50232,1.26282,0.96306,1.31919,0.00100687,0.00100687,0.00100687
