epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2744,1.69982,2.73478,1.50588,0.42264,0.78035,0.43138,0.24446,1.2768,1.9391,1.29679,0.000545744,0.000545744,0.000545744
2,20.6626,1.34116,1.81982,1.2529,0.50261,0.71082,0.51836,0.29628,1.28047,2.74758,1.24789,0.00109051,0.00109051,0.00109051
3,27.3485,1.26106,1.48914,1.17795,0.44299,0.8172,0.62558,0.36449,1.32368,1.62234,1.30689,0.00162427,0.00162427,0.00162427
4,34.5157,1.20424,1.38032,1.17994,0.50805,0.75492,0.60949,0.35609,1.31641,1.6246,1.24118,0.00161749,0.00161749,0.00161749
5,41.0358,1.21308,1.29604,1.19059,0.5282,0.83672,0.65439,0.38925,1.30575,1.48215,1.2655,0.00160099,0.00160099,0.00160099
6,47.6283,1.18563,1.17029,1.17421,0.66093,0.75601,0.79878,0.44446,1.42757,1.25265,1.46649,0.00158448,0.00158448,0.00158448
7,54.1342,1.12423,1.1331,1.1575,0.59883,0.72816,0.74712,0.43677,1.32665,1.31698,1.41034,0.00156798,0.00156798,0.00156798
8,61.4686,1.11529,1.04774,1.14208,0.54814,0.78778,0.73759,0.44912,1.23615,1.46137,1.28553,0.00155148,0.00155148,0.00155148
9,68.0773,1.13098,1.03087,1.16279,0.75825,0.72452,0.79593,0.49084,1.32764,1.29143,1.29045,0.00153497,0.00153497,0.00153497
10,74.7556,1.08635,0.97064,1.1538,0.74976,0.75907,0.81979,0.50363,1.31643,1.11646,1.32483,0.00151847,0.00151847,0.00151847
11,81.4171,1.06601,0.96114,1.1191,0.73999,0.77783,0.83889,0.51218,1.27686,1.04457,1.29069,0.00150197,0.00150197,0.00150197
12,88.2385,1.05625,0.89167,1.1304,0.74117,0.82292,0.85842,0.50663,1.40303,0.98912,1.4183,0.00148546,0.00148546,0.00148546
13,95.0849,1.0474,0.87595,1.12978,0.73321,0.79843,0.81024,0.5006,1.29417,1.13473,1.35396,0.00146896,0.00146896,0.00146896
14,101.846,1.03249,0.85964,1.11692,0.7068,0.82444,0.8376,0.49777,1.36898,1.09035,1.40235,0.00145246,0.00145246,0.00145246
15,109.103,1.03766,0.84519,1.12244,0.68306,0.81614,0.81416,0.51067,1.27071,1.24364,1.33141,0.00143595,0.00143595,0.00143595
16,116.368,1.01919,0.83644,1.11541,0.7955,0.83042,0.88532,0.55454,1.27036,0.95215,1.26449,0.00141945,0.00141945,0.00141945
17,123.706,1.00277,0.81253,1.10479,0.8208,0.80152,0.88571,0.54576,1.31036,1.01494,1.36897,0.00140295,0.00140295,0.00140295
18,130.962,0.99806,0.85305,1.11056,0.79022,0.74035,0.84648,0.50011,1.30622,1.04671,1.33059,0.00138644,0.00138644,0.00138644
19,138.192,0.99823,0.79838,1.10114,0.80541,0.81035,0.85066,0.5349,1.30477,0.98812,1.35304,0.00136994,0.00136994,0.00136994
20,145.477,0.99908,0.79423,1.10959,0.61348,0.86405,0.75076,0.46784,1.28004,1.15503,1.36303,0.00135344,0.00135344,0.00135344
21,153.786,0.99007,0.77579,1.10492,0.76816,0.78743,0.85697,0.54416,1.26215,0.96788,1.3599,0.00133693,0.00133693,0.00133693
22,164.724,0.96628,0.76643,1.10215,0.78455,0.83268,0.89654,0.55945,1.29176,0.88938,1.34816,0.00132043,0.00132043,0.00132043
23,172.82,0.97276,0.76838,1.1019,0.7338,0.84018,0.85588,0.55382,1.27004,0.94141,1.29354,0.00130393,0.00130393,0.00130393
24,180.496,0.95115,0.74638,1.09127,0.78747,0.75958,0.82091,0.49989,1.39491,1.09365,1.42899,0.00128742,0.00128742,0.00128742
25,189.672,0.97464,0.74756,1.10467,0.80064,0.76961,0.84272,0.54231,1.29656,1.01637,1.32863,0.00127092,0.00127092,0.00127092
26,198.489,0.94037,0.75408,1.08572,0.78491,0.84638,0.87983,0.53233,1.30737,0.8656,1.38893,0.00125442,0.00125442,0.00125442
27,206.534,0.9514,0.71605,1.08996,0.77765,0.81886,0.87368,0.56007,1.30226,0.8835,1.36555,0.00123791,0.00123791,0.00123791
28,214.415,0.93151,0.71037,1.08762,0.75084,0.77682,0.86137,0.55992,1.23959,0.95957,1.31928,0.00122141,0.00122141,0.00122141
29,223.71,0.94053,0.72019,1.0799,0.77034,0.81764,0.86518,0.53909,1.31374,0.98911,1.3594,0.00120491,0.00120491,0.00120491
